Alpha,SNP_A,SNP_B
0.501738,N18,M1T1
0.501735,N35,M1T3
0.501732,N4,N35
0.501731,N2,N24
0.501729,N32,N36
0.501724,N18,N38
0.501722,N31,M2Q1
0.501720,N4,N36
0.501717,N2,M1T3
0.501713,N7,N34
0.501712,N7,M0P1
0.501709,N7,M0P2
0.501703,N31,N34
0.501703,N11,N18
0.501702,N7,N9
0.501697,N31,N36
0.501695,N18,N33
0.501693,N24,N31
0.501690,N22,M1T3
0.501681,N22,M2Q4
0.501681,N19,N37
0.501680,N12,N20
0.501678,N18,M0P2
0.501677,N18,N25
0.501666,M2Q3,M2Q4
0.501664,N2,N12
0.501663,N6,M1T3
0.501653,N36,M2Q3
0.501650,N9,N12
0.501648,N5,N31
0.501640,N7,N33
0.501633,N7,N21
0.501631,N30,M2Q2
0.501627,N28,M2Q3
0.501615,N30,M0P2
0.501613,N3,M1T2
0.501613,N23,N30
0.501604,N4,N5
0.501604,N10,N18
0.501600,N29,M1T3
0.501598,N10,M1T3
0.501597,M2Q2,M2Q3
0.501595,N26,N31
0.501593,N21,N31
0.501593,N18,N29
0.501592,N29,M2Q4
0.501588,N35,M1T2
0.501587,N7,N10
0.501587,N18,M0P1
0.501585,N12,N14
0.501584,N23,M1T3
0.501584,M1T3,M2Q2
0.501572,N20,M1T3
0.501568,N31,M1T2
0.501566,N2,N31
0.501564,N16,M1T3
0.501564,N12,M2Q1
0.501563,N9,M1T3
0.501562,N13,N22
0.501552,N18,N32
0.501551,N4,M1T1
0.501551,N2,N7
0.501550,N7,N8
0.501547,N27,M2Q1
0.501543,N3,N4
0.501543,N16,N18
0.501542,M1T1,M2Q3
0.501541,N5,N18
0.501540,N27,M1T3
0.501540,N18,M2Q2
0.501535,N18,N34
0.501534,N7,N39
0.501533,N17,M2Q2
0.501532,N23,M2Q2
0.501531,N9,M1T1
0.501531,N15,M2Q2
0.501530,N11,N24
0.501524,N6,N7
0.501524,N22,N36
0.501523,N5,M2Q2
0.501523,N31,N39
0.501521,N12,N25
0.501520,N40,M2Q3
0.501512,M1T3,M2Q1
0.501510,N22,N31
0.501508,N36,M2Q2
0.501508,N18,M1T2
0.501506,N7,M1T1
0.501506,N15,M1T2
0.501505,N17,N31
0.501505,N16,N31
0.501496,N15,N34
0.501495,N7,N14
0.501493,N7,N37
0.501493,N18,N23
0.501482,N6,M2Q1
0.501482,N27,N31
0.501478,N40,M1T3
0.501476,N31,M1T1
0.501474,N3,N39
0.501474,N18,N39
0.501471,N9,N15
0.501470,N36,M2Q1
0.501468,N15,N18
0.501466,N18,N27
0.501464,N13,M1T2
0.501462,N4,M2Q2
0.501461,N12,N31
0.501454,N4,N19
0.501454,N4,M2Q4
0.501453,N22,M2Q3
0.501449,N30,N39
0.501448,N24,N39
0.501446,N5,N35
0.501442,N8,N31
0.501441,N8,N18
0.501437,N4,N34
0.501433,N7,N32
0.501430,N7,M2Q4
0.501430,N4,N33
0.501429,N23,N36
0.501426,N8,N33
0.501422,N18,N26
0.501420,N4,N21
0.501418,N27,M2Q2
0.501414,N4,N16
0.501413,N7,N24
0.501412,N2,N5
0.501410,N5,N36
0.501409,N7,M1T2
0.501408,N4,N6
0.501408,N32,M1T3
0.501407,N16,N34
0.501404,N27,N30
0.501400,N7,N40
0.501398,N1,N18
0.501398,N13,N31
0.501397,N25,N31
0.501397,N10,N22
0.501396,N7,N16
0.501396,N3,N15
0.501396,N15,M1T1
0.501395,N5,N39
0.501395,N23,M2Q1
0.501394,N35,M2Q4
0.501392,N36,M1T1
0.501390,N22,M0P1
0.501390,N18,M2Q1
0.501389,N23,M2Q3
0.501385,N5,N22
0.501383,N20,N31
0.501383,N16,N23
0.501381,N5,N26
0.501381,N2,N36
0.501380,N21,M1T3
0.501380,N18,N37
0.501377,N27,N36
0.501376,N29,N31
0.501375,N22,M1T2
0.501373,N12,N18
0.501369,N3,N31
0.501366,N16,M2Q2
0.501362,N3,N23
0.501360,N33,N36
0.501360,N2,M2Q2
0.501358,N4,N23
0.501356,N15,M2Q1
0.501356,N11,N28
0.501354,N31,N35
0.501353,N6,N31
0.501353,N30,M1T3
0.501350,N29,N37
0.501349,N4,M2Q3
0.501345,N22,N25
0.501343,N34,N38
0.501343,N25,N35
0.501333,N24,M1T1
0.501330,N7,N28
0.501329,N4,M1T2
0.501327,N20,N34
0.501324,N31,M0P1
0.501324,N11,N39
0.501322,N11,N20
0.501317,N1,N4
0.501314,N4,N11
0.501314,N4,M2Q1
0.501314,N25,M2Q4
0.501313,N7,N26
0.501313,N7,N25
0.501313,N23,N39
0.501312,N34,N36
0.501312,N24,M2Q2
0.501310,N9,N18
0.501309,N14,N31
0.501308,N4,N17
0.501308,N11,M2Q1
0.501306,N5,N11
0.501302,N5,N32
0.501302,N28,N36
0.501301,N15,N23
0.501300,N28,M1T3
0.501300,N23,N32
0.501297,N5,N20
0.501295,N23,M1T2
0.501290,N21,M2Q3
0.501289,N8,N28
0.501289,N2,M1T2
0.501285,N17,M1T3
0.501284,N14,M0P1
0.501283,N23,M1T1
0.501281,N40,M2Q4
0.501279,N2,N18
0.501279,N1,N7
0.501278,N13,N18
0.501276,N15,N22
0.501275,N24,M0P2
0.501274,N9,N36
0.501270,N2,N4
0.501269,N11,M2Q3
0.501268,N4,M0P1
0.501267,N4,N9
0.501267,N17,M2Q3
0.501263,N31,N33
0.501261,N5,N27
0.501259,N2,M2Q3
0.501258,N36,M1T2
0.501257,N31,M0P2
0.501257,N1,M2Q3
0.501256,N37,M1T3
0.501255,N4,N39
0.501255,N18,N21
0.501254,N39,M0P1
0.501252,N31,N40
0.501246,N4,N10
0.501246,N3,M2Q1
0.501246,N22,N30
0.501243,N27,N35
0.501242,N17,M1T1
0.501237,N8,N39
0.501234,N4,N29
0.501232,N3,M1T1
0.501229,N9,N23
0.501229,N5,N33
0.501229,N5,N17
0.501228,N12,M1T3
0.501227,N8,N34
0.501227,N2,N27
0.501226,N30,M2Q1
0.501224,N4,N20
0.501224,N34,N37
0.501223,N25,N34
0.501223,N18,M2Q4
0.501221,N3,N9
0.501219,N6,N34
0.501218,N3,N36
0.501218,M0P1,M1T3
0.501215,N24,N34
0.501212,N22,N35
0.501210,N23,M0P2
0.501208,N31,N32
0.501206,N22,M1T1
0.501205,N24,N30
0.501205,N22,N23
0.501203,N13,M1T3
0.501201,N38,M1T3
0.501200,N13,N23
0.501197,N1,M1T3
0.501196,N5,N23
0.501196,N27,N37
0.501194,N8,M1T3
0.501189,N19,M1T3
0.501186,N35,N37
0.501183,N20,N27
0.501179,N18,N19
0.501179,N16,N17
0.501178,N38,M2Q1
0.501175,N4,N14
0.501171,N25,N36
0.501171,N17,N34
0.501169,N28,N31
0.501169,N27,M0P2
0.501168,N6,N22
0.501168,N22,M2Q1
0.501167,N18,N40
0.501166,N5,M2Q3
0.501166,N21,N33
0.501165,N20,N32
0.501165,N11,N25
0.501165,N10,N36
0.501162,N13,N36
0.501161,N6,N20
0.501161,N38,M2Q3
0.501159,N7,N38
0.501159,N17,N18
0.501157,N4,N37
0.501155,N4,N26
0.501155,N39,M1T2
0.501154,N3,M2Q3
0.501154,N36,M0P1
0.501152,N15,M0P2
0.501150,N33,N37
0.501148,N21,M1T1
0.501145,N3,M2Q2
0.501143,N8,M0P2
0.501141,N2,M0P1
0.501140,N36,M0P2
0.501138,N7,N17
0.501137,N30,N31
0.501137,N23,N37
0.501132,N11,N35
0.501132,M0P1,M2Q3
0.501130,N29,N32
0.501129,N13,N14
0.501127,N3,M0P1
0.501126,M0P1,M1T2
0.501124,N21,N23
0.501124,N14,N36
0.501123,N13,M2Q3
0.501121,N14,M2Q2
0.501120,N29,M2Q3
0.501120,N27,M2Q3
0.501117,N29,N35
0.501116,N36,N39
0.501115,N11,N15
0.501110,N4,N40
0.501109,N34,M2Q3
0.501109,N16,N20
0.501108,N5,M2Q1
0.501108,N30,M2Q4
0.501107,N26,M2Q2
0.501107,N24,M2Q1
0.501105,N4,N24
0.501105,N29,M0P1
0.501104,N1,N37
0.501099,N4,N27
0.501099,N39,M2Q2
0.501098,N14,N39
0.501097,N9,M2Q1
0.501097,N3,N37
0.501097,N10,M2Q4
0.501094,N23,N34
0.501093,N9,N11
0.501092,N27,N33
0.501088,N11,N34
0.501086,N22,N33
0.501083,N2,N23
0.501080,N6,N23
0.501080,N22,N40
0.501079,N16,N22
0.501078,N3,M2Q4
0.501077,N35,M2Q2
0.501077,N10,N35
0.501075,N10,M2Q2
0.501074,N33,M2Q1
0.501073,N13,N34
0.501071,N29,N36
0.501068,N4,N32
0.501068,N11,N16
0.501066,N8,N36
0.501066,N39,M2Q3
0.501066,N2,N15
0.501065,N9,N32
0.501065,N28,N39
0.501064,N33,M2Q3
0.501064,N26,N34
0.501063,N10,N23
0.501058,N22,N39
0.501057,N4,N8
0.501054,N11,N17
0.501053,N19,N23
0.501053,N11,N23
0.501052,N20,N36
0.501052,N14,N22
0.501050,N19,N36
0.501050,N10,N31
0.501048,N22,N37
0.501048,N16,N36
0.501047,N16,N37
0.501045,N4,N28
0.501045,N3,N40
0.501044,N13,N19
0.501043,N24,M0P1
0.501042,N9,N31
0.501042,N10,N27
0.501040,N28,M2Q2
0.501040,N22,M2Q2
0.501036,M1T2,M2Q1
0.501035,N11,N29
0.501030,N4,N25
0.501030,N25,M0P2
0.501030,N11,M1T1
0.501030,N10,M1T1
0.501029,N5,N24
0.501027,N10,M1T2
0.501025,N3,M0P2
0.501024,N23,N38
0.501022,N5,N16
0.501021,N15,N40
0.501020,N19,N31
0.501018,N6,N17
0.501018,N23,N29
0.501018,N15,N37
0.501012,N5,N29
0.501012,N12,N30
0.501010,N5,N34
0.501010,N32,N35
0.501007,N32,M2Q3
0.501007,N2,M0P2
0.501006,N21,N36
0.501006,N16,M0P2
0.501004,N19,N32
0.501001,N28,M0P1
0.501000,N32,M2Q2
0.501000,N24,M2Q4
0.501000,N22,M0P2
0.500999,N10,N14
0.500999,M0P2,M1T2
0.500996,N15,M2Q3
0.500996,M0P1,M2Q1
0.500992,N20,M0P1
0.500989,N8,N24
0.500989,N4,N13
0.500989,N21,N35
0.500989,M0P2,M2Q2
0.500987,N8,M2Q4
0.500986,N29,M2Q1
0.500986,N24,M2Q3
0.500984,N33,M2Q2
0.500982,N5,M0P1
0.500981,N35,N36
0.500976,N3,N5
0.500975,N36,N38
0.500975,N26,M0P1
0.500973,N4,N30
0.500972,N40,M2Q2
0.500971,N10,N11
0.500970,N8,M1T1
0.500970,N5,N15
0.500970,N11,N14
0.500969,N22,N26
0.500969,N13,M2Q2
0.500968,N25,M1T1
0.500967,N36,M2Q4
0.500966,N4,N38
0.500964,N37,M0P2
0.500964,N11,N27
0.500963,N6,N15
0.500962,N20,M2Q4
0.500962,N10,N15
0.500960,N22,N24
0.500960,N21,N37
0.500959,N25,N39
0.500958,N15,N20
0.500955,N17,M0P1
0.500954,N15,N28
0.500953,N6,N36
0.500953,N15,N19
0.500952,N27,M2Q4
0.500952,N22,N32
0.500951,N11,N21
0.500948,N3,N24
0.500948,N37,M2Q1
0.500946,N6,N32
0.500946,N20,N39
0.500942,N30,N36
0.500940,N32,N34
0.500939,N12,N34
0.500938,N16,N27
0.500937,N12,N38
0.500936,N2,N28
0.500935,N2,N22
0.500935,N17,N24
0.500935,N11,N30
0.500933,N2,M2Q1
0.500928,N13,M2Q4
0.500927,N8,N11
0.500926,N1,N31
0.500925,N37,N38
0.500925,N19,N20
0.500924,N30,M2Q3
0.500923,N20,M0P2
0.500922,N33,N40
0.500921,N9,M2Q3
0.500921,N20,M2Q1
0.500920,M0P2,M2Q3
0.500916,N3,N28
0.500916,N2,N29
0.500916,N11,M2Q2
0.500915,N5,M1T2
0.500915,N27,N29
0.500913,N19,N29
0.500913,N14,N34
0.500911,N3,N29
0.500911,N16,N33
0.500911,M1T2,M2Q3
0.500910,N15,N32
0.500907,N20,M2Q2
0.500907,N10,N29
0.500906,N36,N37
0.500906,N26,N35
0.500905,N3,N20
0.500905,N35,N39
0.500904,N40,M0P1
0.500904,N39,M2Q4
0.500904,N23,N27
0.500903,N34,N40
0.500903,N34,N39
0.500903,M1T1,M1T2
0.500902,N20,N33
0.500902,N20,N23
0.500902,N10,N32
0.500901,N21,N34
0.500900,N9,N21
0.500900,N24,N33
0.500900,N23,N26
0.500899,N28,N34
0.500898,N29,M0P2
0.500898,N23,N35
0.500898,N10,M0P1
0.500896,N33,M1T2
0.500896,N2,M2Q4
0.500896,N15,N16
0.500895,N29,M2Q2
0.500895,N20,N37
0.500895,N10,N38
0.500893,N3,N10
0.500892,N13,N16
0.500890,N16,N35
0.500889,N10,N16
0.500888,N6,M2Q2
0.500888,N2,N9
0.500888,N27,N32
0.500887,N34,M2Q1
0.500884,N5,M1T1
0.500883,M0P2,M2Q4
0.500882,N35,M1T1
0.500882,N22,N29
0.500881,N9,N16
0.500881,N8,N22
0.500881,N40,M1T2
0.500881,M0P1,M1T1
0.500877,N15,M2Q4
0.500876,N19,M0P2
0.500874,N10,N37
0.500872,N23,M2Q4
0.500870,N5,N12
0.500870,N26,N36
0.500869,N2,N20
0.500867,N15,N39
0.500866,N32,N38
0.500863,N27,M1T1
0.500862,N29,N39
0.500862,N17,N22
0.500861,N14,N30
0.500859,N2,N16
0.500858,N26,M0P2
0.500856,N11,M1T2
0.500854,N11,M0P1
0.500853,N11,N32
0.500852,N12,N16
0.500849,N5,N8
0.500846,N20,N38
0.500844,N25,M2Q1
0.500843,N5,N40
0.500842,N3,N8
0.500841,N13,N29
0.500840,N10,N13
0.500838,N26,M2Q3
0.500836,N15,N27
0.500835,N33,M2Q4
0.500835,N11,N40
0.500833,N2,M1T1
0.500833,N25,N29
0.500833,N11,N38
0.500831,M1T1,M2Q4
0.500830,N3,N19
0.500830,N12,N36
0.500825,N1,N29
0.500822,N10,N33
0.500820,N3,N22
0.500819,N5,N37
0.500818,N16,N30
0.500816,N5,M0P2
0.500816,N2,N17
0.500816,N15,N29
0.500814,N30,N32
0.500812,M2Q1,M2Q3
0.500811,N5,N6
0.500811,N32,M1T1
0.500811,N1,N36
0.500811,N14,N20
0.500810,N32,N40
0.500807,N5,M2Q4
0.500807,N23,M0P1
0.500805,N25,M0P1
0.500803,N22,N27
0.500802,N39,N40
0.500802,N39,M0P2
0.500801,N12,M0P1
0.500801,M1T1,M2Q2
0.500800,N35,N38
0.500800,N29,N38
0.500800,N11,M0P2
0.500799,N22,N28
0.500798,N17,N36
0.500797,N30,N35
0.500797,N2,N25
0.500796,N19,N35
0.500793,N27,M0P1
0.500792,N40,M1T1
0.500792,N16,M0P1
0.500791,N26,M2Q4
0.500790,N3,N16
0.500790,N23,N40
0.500790,N23,N24
0.500787,N30,N38
0.500787,N12,N23
0.500786,N17,M2Q1
0.500786,M1T2,M2Q4
0.500785,N2,N33
0.500785,N17,M1T2
0.500785,N12,N22
0.500784,N16,N28
0.500781,N33,M1T1
0.500779,N10,N39
0.500777,N1,N22
0.500776,N6,N19
0.500776,N13,M2Q1
0.500776,N12,N40
0.500776,M2Q2,M2Q4
0.500774,N3,N27
0.500774,N3,N11
0.500772,N38,M0P2
0.500771,N15,N24
0.500770,N8,N23
0.500770,N26,N39
0.500770,N24,N38
0.500769,N13,N24
0.500768,N11,N26
0.500767,N6,N25
0.500767,N5,N25
0.500764,N5,N14
0.500764,N21,N22
0.500764,N19,M2Q3
0.500761,N37,M2Q3
0.500761,N21,M2Q1
0.500760,N28,M1T1
0.500759,N6,N30
0.500759,N29,N30
0.500758,N17,N20
0.500757,N6,M0P2
0.500756,N21,N30
0.500756,N17,N38
0.500755,N5,N13
0.500755,N14,M1T1
0.500753,N25,M2Q2
0.500752,N8,N30
0.500752,N19,M2Q2
0.500751,N9,N20
0.500751,N33,M0P2
0.500751,N12,M2Q2
0.500751,N10,N34
0.500749,N33,N34
0.500749,M1T1,M2Q1
0.500747,N34,M2Q4
0.500746,N39,M2Q1
0.500746,N24,M1T2
0.500746,N11,M2Q4
0.500745,N39,M1T1
0.500744,N16,N26
0.500741,N32,N37
0.500741,N25,M1T2
0.500740,N12,N35
0.500739,N10,N17
0.500738,N8,N35
0.500738,N3,N34
0.500738,N10,N12
0.500737,N37,N40
0.500737,N16,M1T1
0.500737,N14,N23
0.500736,N21,M0P2
0.500735,N25,N32
0.500734,N23,N33
0.500733,N10,M2Q3
0.500732,N6,M0P1
0.500731,N35,M2Q1
0.500731,N16,N24
0.500730,N35,M2Q3
0.500729,N14,N24
0.500728,N9,M1T2
0.500728,N23,N25
0.500727,N30,M1T2
0.500727,N2,N35
0.500727,N14,N33
0.500725,N9,M2Q2
0.500725,N32,M2Q1
0.500725,N13,N15
0.500725,N12,N27
0.500723,N9,N35
0.500720,N25,M2Q3
0.500719,N27,N39
0.500718,N24,N25
0.500718,N10,M2Q1
0.500717,N15,M0P1
0.500714,N23,N28
0.500710,N34,M1T1
0.500710,N27,M1T2
0.500710,N17,N40
0.500709,N1,N11
0.500708,N14,N16
0.500707,N12,M2Q3
0.500706,N3,N30
0.500706,N35,N40
0.500705,N32,M0P1
0.500704,N34,M1T2
0.500703,M2Q1,M2Q2
0.500702,N9,M0P1
0.500702,N5,N9
0.500702,N5,N10
0.500701,N25,N27
0.500701,N24,N37
0.500700,N30,M1T1
0.500700,N21,N26
0.500700,N14,N37
0.500698,N8,M2Q3
0.500698,N19,N39
0.500697,N24,N32
0.500697,N1,N10
0.500696,N6,N16
0.500695,N9,N14
0.500695,N6,M1T1
0.500695,N40,M2Q1
0.500695,N14,N29
0.500694,N34,N35
0.500693,N26,N27
0.500688,N40,M0P2
0.500687,N20,M1T1
0.500687,N1,M2Q2
0.500685,N16,N40
0.500684,N19,N22
0.500683,N32,N39
0.500683,N12,N32
0.500679,N20,M2Q3
0.500679,N13,N40
0.500678,N6,N29
0.500678,N13,N28
0.500676,N11,N13
0.500674,N14,N15
0.500671,N12,M2Q4
0.500668,N6,N10
0.500667,N21,M1T2
0.500667,N11,N33
0.500664,N2,N40
0.500661,N16,N19
0.500660,N37,M1T1
0.500658,N9,N37
0.500656,N30,N34
0.500653,N21,N39
0.500651,N1,N23
0.500651,N16,N25
0.500651,N14,N25
0.500650,N14,M2Q3
0.500648,N27,N40
0.500647,M0P2,M1T1
0.500646,N6,N40
0.500646,N13,N25
0.500646,N12,M1T2
0.500644,N8,M2Q1
0.500643,N6,N33
0.500642,N14,N26
0.500641,N19,M1T1
0.500641,N12,N37
0.500639,N14,M2Q1
0.500638,N37,N39
0.500638,N1,N2
0.500637,N17,N39
0.500636,N2,N32
0.500636,N13,N27
0.500633,N34,M0P2
0.500633,N17,N35
0.500633,N12,N15
0.500632,N8,N29
0.500630,N5,N21
0.500629,N20,N24
0.500628,N15,N35
0.500628,N14,N35
0.500627,N9,N10
0.500627,N26,N30
0.500626,N5,N38
0.500625,N9,N22
0.500625,N8,M2Q2
0.500625,N33,N39
0.500623,N8,N38
0.500623,N30,M0P1
0.500621,N1,N16
0.500620,N17,N37
0.500620,N13,N21
0.500619,N22,N38
0.500618,N34,M0P1
0.500618,N16,M2Q4
0.500615,N3,N14
0.500614,N24,N28
0.500613,N5,N19
0.500612,N27,N34
0.500611,N29,N34
0.500610,N32,M1T2
0.500610,N2,N38
0.500609,N9,N39
0.500607,N15,N38
0.500606,N33,N35
0.500604,N2,N10
0.500604,N1,N5
0.500603,N28,N38
0.500603,N16,N29
0.500601,N6,M2Q4
0.500601,N3,N33
0.500600,N17,N23
0.500598,N8,N20
0.500598,N6,N9
0.500597,N6,N39
0.500593,N10,N40
0.500592,N29,M1T1
0.500592,N21,N40
0.500592,N16,N39
0.500589,N16,N32
0.500589,N13,M0P1
0.500588,N1,M1T1
0.500586,N21,M2Q4
0.500586,N10,N24
0.500585,N8,N15
0.500582,N9,N13
0.500581,N8,N17
0.500581,N38,M2Q2
0.500580,N5,N28
0.500580,N2,N14
0.500580,N15,N26
0.500580,M0P2,M2Q1
0.500579,N19,M2Q1
0.500579,M2Q1,M2Q4
0.500578,N24,N40
0.500576,N14,M2Q4
0.500575,N17,N28
0.500573,N19,M2Q4
0.500572,N9,M0P2
0.500571,N38,M1T2
0.500570,N6,N26
0.500568,N13,N39
0.500567,N37,M2Q2
0.500566,N33,N38
0.500566,N1,M1T2
0.500565,N3,N32
0.500564,N10,N25
0.500563,N27,N28
0.500563,N24,N27
0.500560,N9,N29
0.500559,N9,N25
0.500558,N11,N19
0.500558,M0P1,M2Q2
0.500553,N3,N12
0.500553,N20,N40
0.500547,N2,N34
0.500545,N10,M0P2
0.500544,N8,M1T2
0.500544,N15,N33
0.500544,N10,N30
0.500543,N2,N39
0.500543,N26,N28
0.500542,N2,N3
0.500542,N17,N32
0.500540,N21,N27
0.500540,N20,M1T2
0.500539,N9,N33
0.500538,N26,N29
0.500538,N19,N30
0.500537,N6,N13
0.500535,N3,N35
0.500534,N24,N29
0.500533,N6,N24
0.500533,N12,N33
0.500530,N9,N34
0.500529,N33,M0P1
0.500529,N1,N28
0.500529,N11,N37
0.500527,N32,M2Q4
0.500525,N10,N21
0.500523,N14,M1T2
0.500522,N32,M0P2
0.500522,N15,N17
0.500521,N6,M2Q3
0.500519,N35,M0P2
0.500519,N15,N21
0.500517,N14,N38
0.500517,N12,N24
0.500515,N3,N25
0.500514,N19,M1T2
0.500512,N2,N37
0.500511,N28,M0P2
0.500510,N2,N8
0.500510,N21,M2Q2
0.500508,N19,N34
0.500507,N8,N16
0.500506,N14,M0P2
0.500506,N13,N32
0.500505,N29,M1T2
0.500503,N26,M1T1
0.500503,N15,N30
0.500501,N20,N21
0.500501,N15,N25
0.500499,N19,N33
0.500499,N19,M0P1
0.500497,N17,M0P2
0.500493,N14,N27
0.500492,N3,N6
0.500490,N13,M1T1
0.500487,N20,N26
0.500486,N8,N19
0.500486,N16,N21
0.500485,N12,N19
0.500484,N24,N35
0.500480,N10,N20
0.500479,N9,N19
0.500477,N8,N27
0.500477,N1,N39
0.500477,N12,N26
0.500476,N9,N27
0.500476,N28,N32
0.500473,N38,N39
0.500472,M0P1,M2Q4
0.500462,N9,N26
0.500461,N38,M1T1
0.500459,N38,M2Q4
0.500459,N13,N35
0.500458,N21,N38
0.500457,N13,N37
0.500449,N6,M1T2
0.500449,N21,N28
0.500448,N1,N35
0.500445,N6,N38
0.500439,N3,N17
0.500438,N16,N38
0.500437,N26,N32
0.500435,N3,N13
0.500435,N17,N30
0.500435,N14,N17
0.500434,N6,N14
0.500431,N20,N25
0.500430,N20,N28
0.500428,N13,N33
0.500427,N8,N32
0.500426,N17,M2Q4
0.500423,N1,N34
0.500421,N10,N19
0.500420,N28,N37
0.500418,N37,M2Q4
0.500418,N2,N21
0.500417,N1,M0P2
0.500416,N19,N24
0.500415,N26,M1T2
0.500412,N1,N32
0.500407,N1,M2Q4
0.500407,N14,N28
0.500406,N8,M0P1
0.500404,N19,N21
0.500404,N14,N40
0.500402,N1,N15
0.500398,N8,N10
0.500398,N35,M0P1
0.500398,N2,N30
0.500398,N14,N32
0.500397,N17,N29
0.500395,N26,N40
0.500395,N12,N28
0.500394,N32,N33
0.500393,N25,N37
0.500391,N9,M2Q4
0.500389,N30,N40
0.500385,N1,N12
0.500379,N12,N29
0.500376,N25,N30
0.500375,N26,N33
0.500375,N13,N20
0.500369,N25,N28
0.500368,N13,N17
0.500367,N9,N17
0.500367,N6,N8
0.500366,N3,N38
0.500360,N9,N24
0.500360,N20,N30
0.500360,N1,N13
0.500354,N28,N35
0.500351,N13,N30
0.500347,N8,N37
0.500346,N27,N38
0.500344,N6,N35
0.500344,N10,N26
0.500343,N26,N37
0.500340,N2,N26
0.500340,N13,M0P2
0.500339,N37,M1T2
0.500337,N8,N14
0.500335,N6,N27
0.500334,N17,N27
0.500332,N30,N33
0.500330,N8,N21
0.500326,N19,N27
0.500326,N12,N21
0.500325,N29,N33
0.500325,N12,M0P2
0.500323,N1,N6
0.500315,N28,N40
0.500315,N14,N21
0.500309,N6,N37
0.500309,N6,N12
0.500306,N8,N26
0.500304,N1,N27
0.500301,N19,N38
0.500300,N1,M2Q1
0.500299,N13,N38
0.500296,N28,M1T2
0.500295,N14,N19
0.500292,N1,N20
0.500290,N25,N40
0.500289,N28,M2Q1
0.500289,N25,N26
0.500288,N28,N29
0.500288,N21,N32
0.500286,N8,N25
0.500285,N9,N28
0.500285,N19,N40
0.500281,N12,N13
0.500280,N10,N28
0.500276,N37,M0P1
0.500275,N24,N26
0.500274,N17,N25
0.500270,N3,N21
0.500270,N21,N29
0.500266,N1,N3
0.500265,N3,N26
0.500264,N2,N6
0.500261,N21,M0P1
0.500260,N6,N21
0.500259,N9,N40
0.500258,N30,N37
0.500258,N28,N30
0.500257,N28,N33
0.500254,N1,N40
0.500254,N19,N25
0.500248,N17,N19
0.500245,N25,N33
0.500245,N12,N17
0.500244,N2,N13
0.500239,N21,N24
0.500236,N1,M0P1
0.500229,N1,N8
0.500228,N1,N24
0.500228,N19,N28
0.500227,N8,N13
0.500227,N38,N40
0.500226,N1,N9
0.500223,N8,N9
0.500222,N2,N19
0.500219,N8,N40
0.500217,N28,M2Q4
0.500217,N1,N30
0.500217,N1,N14
0.500213,N25,N38
0.500211,N17,N33
0.500198,N1,N19
0.500196,N26,N38
0.500194,N1,N26
0.500192,N8,N12
0.500192,N1,N25
0.500178,N21,N25
0.500172,N9,N30
0.500167,N1,N17
0.500164,N17,N26
0.500153,N6,N28
0.500139,N13,N26
0.500131,N1,N33
0.500074,N17,N21
